Year	CPS_R-FDR_longcalib	PCR_R-FDR_longcalib	M08_R-FDR_longcalib	PAI_R-FDR_longcalib	OIE_R-FDR_longcalib	BHM_R-FDR_longcalib	LMR_R-FDR_longcalib
1	-0.3298	-0.3844	-0.1543	-0.4421	-0.2994	-0.3913	-0.1115
2	-0.2933	-0.3744	-0.1962	-0.3966	-0.253	-0.4667	-0.1084
3	-0.2343	-0.3384	-0.2287	-0.2909	-0.152	-0.4396	-0.1017
4	-0.2238	-0.3179	-0.2779	-0.2047	-0.1795	-0.3895	-0.0703
5	-0.2823	-0.3474	-0.2609	-0.2533	-0.1047	-0.2997	-0.091
6	-0.2118	-0.2939	-0.2024	-0.2369	-0.0169	-0.1548	-0.0855
7	-0.1223	-0.1674	-0.1844	-0.4212	-0.0672	-0.1398	-0.0854
8	-0.1393	-0.2044	-0.2141	-0.4207	-0.0356	-0.2647	-0.1078
9	-0.2528	-0.3399	-0.1728	-0.2355	-0.032	-0.3429	-0.1019
10	-0.2228	-0.3474	-0.1483	-0.2487	-0.0321	-0.3664	-0.1288
11	-0.2003	-0.3214	-0.1341	-0.3013	-0.0768	-0.3616	-0.1045
12	-0.3123	-0.3839	-0.2159	-0.3271	-0.078	-0.3484	-0.0967
13	-0.2053	-0.2159	-0.1717	-0.3814	-2e-04	-0.32	-0.1008
14	-0.2478	-0.2929	-0.1277	-0.1738	0.0575	-0.3378	-0.0966
15	-0.2913	-0.3559	-0.1409	-0.2054	-0.0761	-0.3387	-0.0962
16	-0.3218	-0.3779	-0.1652	-0.3815	-0.1373	-0.3909	-0.1304
17	-0.2403	-0.2909	-0.0604	-0.2232	-0.0663	-0.2272	-0.0983
18	-0.1808	-0.2734	-0.0346	-0.222	-0.051	-0.2215	-0.1016
19	-0.1723	-0.2799	-0.1011	-0.2112	-0.1014	-0.3146	-0.0852
20	-0.2923	-0.3499	-0.1784	-0.4386	-0.132	-0.3994	-0.1453
21	-0.4058	-0.4324	-0.1591	-0.4576	-0.1326	-0.3125	-0.1502
